datetime,portfolio_value,cash,positions,return
2023-02-19 00:00:00-05:00,109325.99789353478,335217.2294825466,"[{'asset': USD, 'quantity': 335217.2294825466}, {'asset': BTC, 'quantity': -585210.4445311187}]",0.04473901507117817
2023-02-20 00:00:00-05:00,102020.2445853439,363115.1849035652,"[{'asset': USD, 'quantity': 363115.1849035652}, {'asset': BTC, 'quantity': -656017.4379854806}]",-0.06682539788299446
2023-02-21 00:00:00-05:00,106612.36665124228,363115.1849035652,"[{'asset': USD, 'quantity': 363115.1849035652}, {'asset': BTC, 'quantity': -656017.4379854806}]",0.045011870776852536
2023-02-22 00:00:00-05:00,104192.79632382322,390245.4418902624,"[{'asset': USD, 'quantity': 390245.4418902624}, {'asset': BTC, 'quantity': -724183.9128264283}]",-0.02269502500900411
2023-02-23 00:00:00-05:00,109262.08371360821,390245.4418902624,"[{'asset': USD, 'quantity': 390245.4418902624}, {'asset': BTC, 'quantity': -724183.9128264283}]",0.0486529546057104
2023-02-24 00:00:00-05:00,116503.9228418725,390245.4418902624,"[{'asset': USD, 'quantity': 390245.4418902624}, {'asset': BTC, 'quantity': -724183.9128264283}]",0.06627952609110221
2023-02-25 00:00:00-05:00,117274.45143209654,420141.95119095454,"[{'asset': USD, 'quantity': 420141.95119095454}, {'asset': BTC, 'quantity': -801236.7718488307}]",0.006613756613756738
2023-02-26 00:00:00-05:00,117274.45143209654,420141.95119095454,"[{'asset': USD, 'quantity': 420141.95119095454}, {'asset': BTC, 'quantity': -801236.7718488307}]",0.0
2023-02-27 00:00:00-05:00,116473.21466024767,420141.95119095454,"[{'asset': USD, 'quantity': 420141.95119095454}, {'asset': BTC, 'quantity': -801236.7718488307}]",-0.006832151095695349
2023-02-28 00:00:00-05:00,118152.51750121464,449183.42555874714,"[{'asset': USD, 'quantity': 449183.42555874714}, {'asset': BTC, 'quantity': -878066.0691181234}]",0.01441793158938287
2023-03-01 00:00:00-05:00,112884.12108650588,449183.42555874714,"[{'asset': USD, 'quantity': 449183.42555874714}, {'asset': BTC, 'quantity': -878066.0691181234}]",-0.04458979398940521
2023-03-02 00:00:00-05:00,118152.51750121464,449183.42555874714,"[{'asset': USD, 'quantity': 449183.42555874714}, {'asset': BTC, 'quantity': -878066.0691181234}]",0.0466708369963873
2023-03-03 00:00:00-05:00,118152.51750121464,449183.42555874714,"[{'asset': USD, 'quantity': 449183.42555874714}, {'asset': BTC, 'quantity': -878066.0691181234}]",0.0
2023-03-04 00:00:00-05:00,120786.71570856898,449183.42555874714,"[{'asset': USD, 'quantity': 449183.42555874714}, {'asset': BTC, 'quantity': -878066.0691181234}]",0.02229489699470233
2023-03-05 00:00:00-05:00,127740.57602467237,479622.32383557234,"[{'asset': USD, 'quantity': 479622.32383557234}, {'asset': BTC, 'quantity': -958805.8523457765}]",0.057571399928461275
2023-03-06 00:00:00-05:00,124864.15846763505,479622.32383557234,"[{'asset': USD, 'quantity': 479622.32383557234}, {'asset': BTC, 'quantity': -958805.8523457765}]",-0.02251764980675952
2023-03-07 00:00:00-05:00,115276.09994417726,479622.32383557234,"[{'asset': USD, 'quantity': 479622.32383557234}, {'asset': BTC, 'quantity': -958805.8523457765}]",-0.07678791609317592
2023-03-08 00:00:00-05:00,106646.84727306524,479622.32383557234,"[{'asset': USD, 'quantity': 479622.32383557234}, {'asset': BTC, 'quantity': -958805.8523457765}]",-0.07485725727441117
2023-03-09 00:00:00-05:00,124522.20455967076,505667.18370945717,"[{'asset': USD, 'quantity': 505667.18370945717}, {'asset': BTC, 'quantity': -1027344.9572770523}]",0.16761261812865724
2023-03-10 00:00:00-05:00,126032.5817039255,538308.1119936296,"[{'asset': USD, 'quantity': 538308.1119936296}, {'asset': BTC, 'quantity': -1111254.7986245393}]",0.012129380053908179
2023-03-11 00:00:00-05:00,130817.31136123743,569816.257419611,"[{'asset': USD, 'quantity': 569816.257419611}, {'asset': BTC, 'quantity': -1196182.4143279933}]",0.0379642279212542
2023-03-12 00:00:00-05:00,122176.69663118426,602877.0356995967,"[{'asset': USD, 'quantity': 602877.0356995967}, {'asset': BTC, 'quantity': -1285295.0242470922}]",-0.0660510038017299
2023-03-13 01:00:00-04:00,121605.01422716136,632849.5274533699,"[{'asset': USD, 'quantity': 632849.5274533699}, {'asset': BTC, 'quantity': -1366963.9391075096}]",-0.00467914438502659
2023-03-14 01:00:00-04:00,121605.01422716136,632849.5274533699,"[{'asset': USD, 'quantity': 632849.5274533699}, {'asset': BTC, 'quantity': -1366963.9391075096}]",0.0
2023-03-15 01:00:00-04:00,140742.5093746665,632849.5274533699,"[{'asset': USD, 'quantity': 632849.5274533699}, {'asset': BTC, 'quantity': -1366963.9391075096}]",0.1573742272810872
2023-03-16 01:00:00-04:00,133322.62856988073,669403.4847492903,"[{'asset': USD, 'quantity': 669403.4847492903}, {'asset': BTC, 'quantity': -1464701.792839917}]",-0.05271954321230354
2023-03-17 01:00:00-04:00,112816.80347012181,669403.4847492903,"[{'asset': USD, 'quantity': 669403.4847492903}, {'asset': BTC, 'quantity': -1464701.792839917}]",-0.15380603667749349
2023-03-18 01:00:00-04:00,121011.24157731864,696568.583479596,"[{'asset': USD, 'quantity': 696568.583479596}, {'asset': BTC, 'quantity': -1538923.3740702602}]",0.07263490770120096
